epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.1028,1.93711,3.96984,2.12865,0.95484,0.125,0.19429,0.13733,1.94038,4.28526,2.60812,0.00032381,0.00032381,0.00032381
2,35.5292,1.8357,2.71152,1.98026,0.04974,0.3,0.02958,0.00416,2.5864,inf,3.76172,0.000644131,0.000644131,0.000644131
3,52.965,1.84525,2.48193,1.94121,0.0271,0.46964,0.04969,0.01478,2.72799,56.9091,4.17249,0.000951253,0.000951253,0.000951253
4,70.7394,1.81198,2.24865,1.89881,0.66968,0.22321,0.25434,0.11132,2.42255,8.42969,3.12818,0.0009406,0.0009406,0.0009406
5,88.5484,1.74911,2.11864,1.82269,0.15363,0.40983,0.29437,0.10289,2.37521,5.17517,2.91494,0.0009208,0.0009208,0.0009208
6,106.494,1.75734,1.96534,1.82382,0.26963,0.50893,0.43076,0.15569,2.36088,7.44637,2.79731,0.000901,0.000901,0.000901
7,125.331,1.64271,1.84294,1.74859,0.53493,0.60893,0.62469,0.30555,2.01793,3.27555,2.77907,0.0008812,0.0008812,0.0008812
8,144.494,1.5699,1.74249,1.68553,0.5315,0.62245,0.65623,0.31127,2.01215,2.56256,2.49172,0.0008614,0.0008614,0.0008614
9,163.441,1.58715,1.63854,1.6975,0.63355,0.48557,0.48998,0.26611,1.79371,2.4493,2.18237,0.0008416,0.0008416,0.0008416
10,181.573,1.55353,1.63693,1.69423,0.30616,0.68214,0.52762,0.261,2.18304,2.84769,2.54767,0.0008218,0.0008218,0.0008218
11,199.983,1.55312,1.61846,1.65403,0.55596,0.70357,0.77809,0.3967,1.84756,1.90997,2.20244,0.000802,0.000802,0.000802
12,218.406,1.47411,1.49285,1.60441,0.70205,0.50893,0.52623,0.29899,1.67761,2.24379,1.97294,0.0007822,0.0007822,0.0007822
13,236.608,1.41313,1.35192,1.53704,0.79154,0.57069,0.65104,0.37244,1.72022,1.66529,2.05762,0.0007624,0.0007624,0.0007624
